Ticker,Name,Exchange,Category,Country,Quote,Key,Income,Balance,Cash,Insider,Bonds
CHCI,Comstock Holding Companies Inc.,NCM,Residential Construction,USA,5/12/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
CGEN,Compugen Ltd.,NGM,Biotechnology,USA,5/31/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,N,N
CELP,Cypress Energy Partners L.P.,NYQ,Oil & Gas Equipment & Services,USA,6/2/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,N
CCM,Concord Medical Services Holdings Limited,NYQ,Hospitals,USA,5/31/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N,N
CAL,Caleres Inc.,NYQ,Textile - Apparel Footwear & Accessories,USA,5/31/2021,5/28/2021,5/28/2021,5/28/2021,5/28/2021,5/28/2021,N
XNY,China Xiniya Fashion Limited,NYQ,Textile - Apparel Clothing,USA,5/11/2021,N,5/28/2021,5/28/2021,3/21/2021,N,N
WSTC,West Corporation,NMS,Diversified Communication Services,USA,5/11/2021,N,5/28/2021,5/28/2021,5/28/2021,N,N
WSFS,WSFS Financial Corporation,NMS,Regional - Mid-Atlantic Banks,USA,4/4/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,N
WIRE,Encore Wire Corporation,NMS,Diversified Electronics,USA,5/12/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N,N
VVI,Viad Corp,NYQ,Business Services,USA,5/12/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
UEC,Uranium Energy Corp.,ASE,Industrial Metals & Minerals,USA,5/12/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
TRX,Tanzanian Royalty Exploration Corporation,ASE,Gold,USA,06/06/2021,06/06/2021,06/06/2021,06/06/2021,06/06/2021,N,N
SPSC,SPS Commerce Inc.,NMS,Application Software,USA,5/12/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
SNFCA,Security National Financial Corporation,NGM,Credit Services,USA,3/26/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,N
SGA,Saga Communications Inc.,ASE,Broadcasting - Radio,USA,5/31/2021,5/28/2021,5/28/2021,5/28/2021,5/28/2021,5/28/2021,N
RWC,RELM Wireless Corporation,ASE,Communication Equipment,USA,5/7/2021,N,5/28/2021,5/28/2021,3/20/2021,N,N
POR,Portland General Electric Company,NYQ,Electric Utilities,USA,5/12/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
PDS,Precision Drilling Corporation,NYQ,Oil & Gas Equipment & Services,USA,6/2/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,N,N
PBPB,Potbelly Corporation,NMS,Specialty Eateries,USA,5/31/2021,5/28/2021,5/28/2021,5/28/2021,5/28/2021,5/28/2021,N
NWY,New York & Company Inc.,NYQ,Apparel Stores,USA,5/11/2021,N,06/06/2021,06/06/2021,06/06/2021,N,N
NRCIB,National Research Corporation,NMS,Research Services,USA,5/11/2021,N,5/28/2021,5/28/2021,5/11/2021,N,N
MSN,Emerson Radio Corp.,ASE,Electronic Equipment,USA,5/31/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N,N
MSEX,Middlesex Water Company,NMS,Water Utilities,USA,5/12/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
MPX,Marine Products Corporation,NYQ,Recreational Vehicles,USA,5/12/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
MCRI,Monarch Casino & Resort Inc.,NMS,Resorts & Casinos,USA,5/31/2021,5/28/2021,5/28/2021,5/28/2021,5/28/2021,5/28/2021,N
LORL,Loral Space & Communications Inc.,NMS,Communication Equipment,USA,5/31/2021,5/28/2021,5/28/2021,5/28/2021,5/28/2021,N,N
LEDS,SemiLEDs Corporation,NCM,Semiconductor- Memory Chips,USA,5/12/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
LAYN,Layne Christensen Company,NMS,Heavy Construction,USA,5/12/2021,N,5/30/2021,5/30/2021,5/30/2021,N,N
KEQU,Kewaunee Scientific Corporation,NGM,Business Equipment,USA,5/31/2021,5/28/2021,5/28/2021,5/28/2021,5/28/2021,5/28/2021,N
IEC,IEC Electronics Corp.,ASE,Printed Circuit Boards,USA,5/12/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
HQCL,Hanwha Q CELLS Co. Ltd.,NMS,Semiconductor - Specialized,USA,5/12/2021,N,5/30/2021,5/30/2021,5/30/2021,N,N
GKOS,Glaukos Corporation,NYQ,Medical Instruments & Supplies,USA,5/31/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
FVE,Five Star Senior Living Inc.,NCM,Long-Term Care Facilities,USA,5/31/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N,N
FONR,Fonar Corporation,NCM,Medical Appliances & Equipment,USA,5/31/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,N,N
ETM,Entercom Communications Corp.,NYQ,Broadcasting - Radio,USA,3/20/2021,N,5/28/2021,5/28/2021,3/20/2021,5/28/2021,N
ESSX,Essex Rental Corp.,PNK,Rental & Leasing Services,USA,5/12/2021,N,5/30/2021,5/30/2021,5/8/2021,N,N
ESMC,Escalon Medical Corp.,PNK,Medical Appliances & Equipment,USA,5/31/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,N,N
ELON,Echelon Corporation,NMS,Networking & Communication Devices,USA,5/12/2021,N,5/30/2021,5/30/2021,5/30/2021,N,N
DDPW,Digital Power Corporation,ASE,Diversified Electronics,USA,5/12/2021,N,5/30/2021,5/30/2021,5/8/2021,N,N
DJCO,Daily Journal Corporation,NCM,Publishing - Newspapers,USA,5/31/2021,5/31/2021,5/31/2021,5/31/2021,5/28/2021,5/28/2021,N
CVV,CVD Equipment Corporation,NCM,Diversified Machinery,USA,5/12/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
CVR,Chicago Rivet & Machine Co.,ASE,Machine Tools & Accessories,USA,5/12/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N,N
CUTR,Cutera Inc.,NMS,Medical Appliances & Equipment,USA,5/31/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,N
CPHC,Canterbury Park Holding Corporation,NGM,Gaming Activities,USA,5/31/2021,N,5/11/2021,5/11/2021,5/11/2021,N,N
CONE,CyrusOne Inc.,NMS,REIT - Diversified,USA,5/12/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
COBZ,CoBiz Financial Inc.,NMS,Regional - Southwest Banks,USA,4/24/2021,N,5/29/2021,5/29/2021,5/29/2021,N,N
CNTY,Century Casinos Inc.,NCM,Resorts & Casinos,USA,5/31/2021,5/28/2021,5/28/2021,5/28/2021,5/28/2021,5/28/2021,N
CNNX,CONE Midstream Partners LP,NYQ,Oil & Gas Pipelines,USA,5/11/2021,N,5/29/2021,5/29/2021,4/3/2021,N,N
CLW,Clearwater Paper Corporation,NYQ,Paper & Paper Products,USA,5/12/2021,5/30/2021,5/30/2021,4/25/2021,5/30/2021,5/30/2021,N
CHUY,Chuy s Holdings Inc.,NMS,Restaurants,USA,5/31/2021,5/28/2021,5/28/2021,5/28/2021,5/28/2021,N,N
CEMI,Chembio Diagnostics Inc.,NCM,Diagnostic Substances,USA,5/31/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
CECE,CECO Environmental Corp.,NMS,Pollution & Treatment Controls,USA,5/12/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N
CDXS,Codexis Inc.,NMS,Biotechnology,USA,5/31/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,N
TCS,The Container Store Group Inc.,NYQ,Specialty Retail Other,USA,6/1/2021,5/28/2021,5/28/2021,5/28/2021,5/29/2021,5/29/2021,N
SIM,Grupo Simec S.A.B. de C.V.,ASE,Steel & Iron,USA,5/12/2021,5/30/2021,5/30/2021,5/30/2021,5/30/2021,N,N
SFNC,Simmons First National Corporation,NMS,Money Center Banks,USA,6/2/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,N
SEIC,SEI Investments Co.,NMS,Asset Management,USA,3/28/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,5/29/2021,N
RMGN,RMG Networks Holding Corporation,NCM,Business Services,USA,5/12/2021,N,5/30/2021,5/30/2021,4/25/2021,N,N
