Ticker,Name,Exchange,Category,Country,Quote,Income,Balance,Cash,Insider,Institutional,Bonds,Buybacks
IVAC,Intevac Inc.,NMS,Diversified Electronics,USA,5/12/2021,5/8/2021,5/8/2021,5/8/2021,N,N,N,N
IVTY,Invuity Inc.,NGM,Medical Instruments & Supplies,USA,5/12/2021,4/25/2021,4/25/2021,4/25/2021,N,N,N,N
MOBO,Mobile Lads Corp.,PNK,Conglomerates,USA,5/12/2021,4/26/2021,4/26/2021,4/26/2021,N,N,N,N
LBSV,Liberty Silver Corp.,PNK,Industrial Metals & Minerals,USA,5/12/2021,5/7/2021,5/7/2021,5/8/2021,N,N,N,N
LPTC,Le@p Technology Inc.,PNK,Conglomerates,USA,5/12/2021,4/26/2021,4/26/2021,4/26/2021,N,N,N,N
LTUM,Lithium Corporation,PNK,Industrial Metals & Minerals,USA,5/12/2021,5/7/2021,5/7/2021,5/8/2021,N,N,N,N
MHTX,Manhattan Scientifics Inc.,PNK,Diversified Electronics,USA,5/12/2021,5/8/2021,5/8/2021,5/8/2021,N,N,N,N
MNSB,MainStreet Bancshares Inc.,PNK,Regional - Northeast Banks,USA,4/24/2021,4/24/2021,4/24/2021,4/24/2021,N,N,N,N
TSTS,That Marketing Solution Inc.,PNK,Conglomerates,USA,5/12/2021,4/26/2021,4/26/2021,4/26/2021,N,N,N,N
NMRD,Nemaura Medical Inc.,PNK,Medical Appliances & Equipment,USA,5/11/2021,4/25/2021,4/25/2021,4/25/2021,N,N,N,N
MMEX,MMEX Resources Corporation,PNK,Nonmetallic Mineral Mining,USA,5/12/2021,5/8/2021,5/8/2021,5/8/2021,N,N,N,N
MNAI,Monar International Inc.,PNK,Conglomerates,USA,5/12/2021,4/26/2021,4/26/2021,4/26/2021,N,N,N,N
